id,name,sex,influence,age,position,type,industry,country,source1,source2
PwC,PricewaterhouseCoopers,NA,NA,NA,NA,2,2,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjAva3c1MC1wYS11YS13aXJlY2FyZC04MTE5Nzg=&mod=mod796592
RB,Ralf Bose,2,2,3,1,1,2,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjAva3c1MC1wYS11YS13aXJlY2FyZC04MTE5Nzg=&mod=mod796592
SA,Staatsanwaltschaft Niederbayern,NA,NA,NA,NA,2,4,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwNi1wYS0zdWEtZnJlaXRhZy04MjA2NDI=&mod=mod796592
SB,Dr. Silvia Bosch,2,4,3,2,1,5,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjAva3c1MS1wYS0zdWEtODEyMjQ0&mod=mod796592
Spitzberg,Spitzberg Partners,NA,NA,NA,NA,2,6,USA,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwMi1wYS0zdWEtODE2MTQ4&mod=mod796592
UG,Ulf Gartzke,2,3,3,2,1,6,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjAva3c1MS1wYS0zdWEtODEyMjQ0&mod=mod796592
VBC,Von Beust und Coll,NA,NA,NA,NA,2,6,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwMi1wYS0zdWEtODE2MTQ4&mod=mod796592
Wirecard,Wirecard,NA,NA,NA,NA,2,1,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjAva3c1MS1wYS0zdWEtODEyMjQ0&mod=mod796592
WK,Waldemar Kindler,2,5,4,1,1,7,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwNC1wYS0zdWEtZG9ubmVyc3RhZy04MTg1NzQ=&mod=mod796592
WS,Wolfgang Schmidt,2,3,3,2,1,5,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjAva3c1MS1wYS0zdWEtODEyMjQ0&mod=mod796592
DMC,Dan McCrum,2,4,3,3,1,3,UK,3,https://www.ft.com/dan-mccrum
JM,Jan Marsalek,2,5,2,1,1,1,Germany,3,https://www.ft.com/content/284fb1ad-ddc0-45df-a075-0709b36868db
SCH,Schillings Law,NA,NA,NA,NA,2,6,UK,3,https://www.ft.com/content/284fb1ad-ddc0-45df-a075-0709b36868db
FTI,FTI Consulting,NA,NA,NA,NA,2,6,UK,3,https://www.ft.com/content/284fb1ad-ddc0-45df-a075-0709b36868db
ALDI,Aldi,NA,NA,NA,NA,2,6,Germany,3,https://www.ft.com/content/284fb1ad-ddc0-45df-a075-0709b36868db
LIDL,LIDL,NA,NA,NA,NA,2,6,Germany,3,https://www.ft.com/content/284fb1ad-ddc0-45df-a075-0709b36868db
SO,SoftBank,NA,NA,NA,NA,2,2,Japan,3,https://www.ft.com/content/284fb1ad-ddc0-45df-a075-0709b36868db
RO,Rami El Obeidi,2,2,NA,3,1,3,Libya,3,https://www.ft.com/content/284fb1ad-ddc0-45df-a075-0709b36868db
JF,James Freis,2,3,3,1,1,1,USA,3,https://www.ft.com/content/284fb1ad-ddc0-45df-a075-0709b36868db
MT,Mark Tollentino,2,4,2,2,1,2,Germany,2,https://www.wiso-net.de/document/SPIE__CODESCO-SP-2020-034-79319%7CTSPI__CODESCO-SP-2020-034-79319
FMG,Flughafen München,NA,NA,NA,NA,2,6,Germany,2,https://www.wiso-net.de/document/SPIE__CODESCO-SP-2020-034-79319%7CTSPI__CODESCO-SP-2020-034-79319
IKTO,Telekommunikationsanbieter Orange,NA,NA,NA,NA,2,6,France,2,https://www.wiso-net.de/document/SPIE__CODESCO-SP-2020-034-79319%7CTSPI__CODESCO-SP-2020-034-79319
RS,Rajaratnam Shanmugaratnam,2,3,3,2,1,2,Sri Lanka,2,https://www.wiso-net.de/document/SPIE__CODESCO-SP-2020-034-79319%7CTSPI__CODESCO-SP-2020-034-79319
HOS,Henry O'Sullivan,2,4,3,2,1,2,UK,2,https://www.wiso-net.de/document/SPIE__CODESCO-SP-2020-034-79319%7CTSPI__CODESCO-SP-2020-034-79319
AM1,Arne Matthias,2,5,NA,1,1,1,Germany,2,https://www.wiso-net.de/document/SPIE__CODESCO-SP-2020-034-79319%7CTSPI__CODESCO-SP-2020-034-79319
GF,Gregor Fichtelberger,2,4,NA,2,1,2,Germany,2,https://www.wiso-net.de/document/SPIE__CODESCO-SP-2021-006-88137%7CTSPI__CODESCO-SP-2021-006-88137
CH,Carlos Häuser,2,5,NA,2,1,1,Germany,2,https://www.wiso-net.de/document/SPIE__CODESCO-SP-2021-006-88188%7CTSPI__CODESCO-SP-2021-006-88188
BH,Brigitte Häuser,1,5,NA,1,1,1,Germany,2,https://www.wiso-net.de/document/SPIE__CODESCO-SP-2021-006-88188%7CTSPI__CODESCO-SP-2021-006-88188
JL,Jörn Leogrande,2,5,3,2,1,1,Germany,2,https://www.wiso-net.de/document/SPIE__CODESCO-SP-2021-006-88188%7CTSPI__CODESCO-SP-2021-006-88188
FM,Friedrich Merz,2,3,4,2,1,2,Germany,2,https://www.wiso-net.de/document/SPON__085f6b4a4493d47fe32bf7bd531da1ade159a3af
JK,Jörg Kukies,2,3,NA,2,1,2,Germany,2,https://www.wiso-net.de/document/SPON__085f6b4a4493d47fe32bf7bd531da1ade159a3af
OS,Oliver Samwer,2,3,3,2,1,2,Germany,2,https://www.wiso-net.de/document/SPIE__CODESCO-SP-2021-004-87567%7CTSPI__CODESCO-SP-2021-004-87567
AS,Alexander Schütz,2,5,3,1,1,2,Österreich,2,https://www.wiso-net.de/dosearch?_searchOnlyInAbstractField=&_searchOnlyInTitleField=&explicitSearch=true&q=&dbShortcut=%3A3%3APRESSE&searchMask=7012&TI%2CUT%2CDZ%2CBT%2COT%2CSL=&KO=&MM%2COW%2CUF%2CMF%2CAO%2CTP%2CVM%2CNN%2CNJ%2CKV%2CZ2=&CO%2CC2%2CTA%2CKA%2CVA%2CZ1=&CT%2CZ4%2CKW=&BR%2CGW%2CN1%2CN2%2CNC%2CND%2CSC%2CWZ%2CZ5%2CAI%2CBC%2CKN%2CTN%2CVN%2CK0%2CB4%2CNW%2CVH=&Z3%2CCN%2CCE%2CKC%2CTC%2CVC=&SO%2CZK%2CZT=Handelsblatt&DT_from=&DT_to=&timeFilterType=selected&timeFilter=LAST_12_MONTHS&x=56&y=12#content
WF,Wolfgang Fink,2,3,NA,1,1,2,Germany,2,https://www.wiso-net.de/dosearch?_searchOnlyInAbstractField=&_searchOnlyInTitleField=&explicitSearch=true&q=&dbShortcut=%3A3%3APRESSE&searchMask=7012&TI%2CUT%2CDZ%2CBT%2COT%2CSL=&KO=&MM%2COW%2CUF%2CMF%2CAO%2CTP%2CVM%2CNN%2CNJ%2CKV%2CZ2=&CO%2CC2%2CTA%2CKA%2CVA%2CZ1=&CT%2CZ4%2CKW=&BR%2CGW%2CN1%2CN2%2CNC%2CND%2CSC%2CWZ%2CZ5%2CAI%2CBC%2CKN%2CTN%2CVN%2CK0%2CB4%2CNW%2CVH=&Z3%2CCN%2CCE%2CKC%2CTC%2CVC=&SO%2CZK%2CZT=Handelsblatt&DT_from=&DT_to=&timeFilterType=selected&timeFilter=LAST_12_MONTHS&x=56&y=12#content
