id,name,sex,influence,age,position,type,industry,country,source1,source2
EY,Ernst & Young,NA,NA,NA,NA,2,5,UK,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwMi1wYS0zdWEtZnItODE3MTU2&mod=mod796592
FH,Felix Hufeld,2,3,3,1,1,2,Germany,2,https://www.wiso-net.de/dosearch?_searchOnlyInAbstractField=&_searchOnlyInTitleField=&explicitSearch=true&q=&dbShortcut=%3A3%3APRESSE&searchMask=7012&TI%2CUT%2CDZ%2CBT%2COT%2CSL=&KO=&MM%2COW%2CUF%2CMF%2CAO%2CTP%2CVM%2CNN%2CNJ%2CKV%2CZ2=&CO%2CC2%2CTA%2CKA%2CVA%2CZ1=&CT%2CZ4%2CKW=&BR%2CGW%2CN1%2CN2%2CNC%2CND%2CSC%2CWZ%2CZ5%2CAI%2CBC%2CKN%2CTN%2CVN%2CK0%2CB4%2CNW%2CVH=&Z3%2CCN%2CCE%2CKC%2CTC%2CVC=&SO%2CZK%2CZT=Handelsblatt&DT_from=&DT_to=&timeFilterType=selected&timeFilter=LAST_12_MONTHS&x=56&y=12#content
Financial Times,Financial Times,NA,NA,NA,NA,2,3,UK,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwMi1wYS0zdWEtZnItODE3MTU2&mod=mod796592
FM,Friedrich Merz,2,3,4,2,1,2,Germany,2,https://www.wiso-net.de/document/SPON__085f6b4a4493d47fe32bf7bd531da1ade159a3af
FMG,Flughafen Muenchen,NA,NA,NA,NA,2,6,Germany,2,https://www.wiso-net.de/document/SPIE__CODESCO-SP-2020-034-79319%7CTSPI__CODESCO-SP-2020-034-79319
FP,Fraser Perring,2,3,NA,3,1,6,Germany,2,https://www.wiso-net.de/dosearch?_searchOnlyInAbstractField=&_searchOnlyInTitleField=&explicitSearch=true&q=&dbShortcut=%3A3%3APRESSE&searchMask=7012&TI%2CUT%2CDZ%2CBT%2COT%2CSL=&KO=&MM%2COW%2CUF%2CMF%2CAO%2CTP%2CVM%2CNN%2CNJ%2CKV%2CZ2=&CO%2CC2%2CTA%2CKA%2CVA%2CZ1=&CT%2CZ4%2CKW=&BR%2CGW%2CN1%2CN2%2CNC%2CND%2CSC%2CWZ%2CZ5%2CAI%2CBC%2CKN%2CTN%2CVN%2CK0%2CB4%2CNW%2CVH=&Z3%2CCN%2CCE%2CKC%2CTC%2CVC=&SO%2CZK%2CZT=Handelsblatt&DT_from=&DT_to=&timeFilterType=selected&timeFilter=LAST_12_MONTHS&x=56&y=12#content
FPÖ,FPÖ,NA,NA,NA,NA,2,5,Austria,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwMi1wYS0zdWEtODE2MTQ4&mod=mod796592
FQ,Fahmi Quadir,1,3,NA,1,1,6,USA,2,https://www.wiso-net.de/dosearch?_searchOnlyInAbstractField=&_searchOnlyInTitleField=&explicitSearch=true&q=&dbShortcut=%3A3%3APRESSE&searchMask=7012&TI%2CUT%2CDZ%2CBT%2COT%2CSL=&KO=&MM%2COW%2CUF%2CMF%2CAO%2CTP%2CVM%2CNN%2CNJ%2CKV%2CZ2=&CO%2CC2%2CTA%2CKA%2CVA%2CZ1=&CT%2CZ4%2CKW=&BR%2CGW%2CN1%2CN2%2CNC%2CND%2CSC%2CWZ%2CZ5%2CAI%2CBC%2CKN%2CTN%2CVN%2CK0%2CB4%2CNW%2CVH=&Z3%2CCN%2CCE%2CKC%2CTC%2CVC=&SO%2CZK%2CZT=Handelsblatt&DT_from=&DT_to=&timeFilterType=selected&timeFilter=LAST_12_MONTHS&x=56&y=12#content
FSB,FSB,NA,NA,NA,NA,2,7,Russia,2,https://www.wiwo.de/unternehmen/dienstleister/wirecard-die-moskau-connections-des-jan-marsalek/26036464.html
FTI,FTI Consulting,NA,NA,NA,NA,2,6,UK,3,https://www.ft.com/content/284fb1ad-ddc0-45df-a075-0709b36868db
GF,Gregor Fichtelberger,2,4,NA,2,1,2,Germany,2,https://www.wiso-net.de/document/SPIE__CODESCO-SP-2021-006-88137%7CTSPI__CODESCO-SP-2021-006-88137
GRU,GRU,NA,NA,NA,NA,2,7,Russia,2,https://www.wiwo.de/unternehmen/dienstleister/wirecard-die-moskau-connections-des-jan-marsalek/26036464.html
GW,Georg Waldenfels,2,3,4,2,1,1,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjAva3c1MS1wYS0zdWEtODEyMjQ0&mod=mod796592
